group_kind,group_id,row_label,gene,scores,log2fc,pvals,fdr,pct_in,pct_bg,delta_pct,marker_rank
small_cluster,15,cluster_15,Cp,20.04934,2.6278875,2.045442548162313e-89,2.096706452025631e-86,0.8192090395480226,0.19187116564417178,0.6273378739038509,10
small_cluster,15,cluster_15,Pon1,18.975925,2.736915,2.6971889521666238e-80,1.7954789395670247e-77,0.9830508474576272,0.37239263803680983,0.6106582094208173,11
small_cluster,15,cluster_15,Mgp,18.878233,2.4028544,1.7225450850550447e-79,1.0865946899995304e-76,0.5480225988700564,0.09018404907975461,0.4578385497903018,12
small_cluster,15,cluster_15,Pigr,18.82041,2.5752208,5.1385058609087536e-79,3.009879808027302e-76,0.9887005649717514,0.31717791411042945,0.6715226508613219,13
small_cluster,15,cluster_15,Tex33,18.711952,3.519264,3.9561818299854893e-78,2.2374254549514487e-75,0.23163841807909605,0.01717791411042945,0.2144605039686666,14
small_cluster,15,cluster_15,Gmnn,18.678688,2.2761412,7.381114811212723e-78,3.9050859360870925e-75,0.6892655367231638,0.14141104294478526,0.5478544937783786,15
small_cluster,15,cluster_15,Tff2,17.773191,3.065018,1.1401744721971005e-70,4.560975980123085e-68,0.7231638418079096,0.20291411042944785,0.5202497313784618,16
small_cluster,15,cluster_15,St8sia6,17.315508,3.0207007,3.593397911449099e-67,1.1787063829135335e-64,0.3220338983050847,0.03987730061349693,0.2821565976915878,17
small_cluster,15,cluster_15,Cd36,16.71909,2.079509,9.516093078800887e-63,2.6453125861934466e-60,0.847457627118644,0.24938650306748467,0.5980711240511594,18
small_cluster,15,cluster_15,Ldhb,16.444836,2.0466394,9.133233150257347e-61,2.2357336850353846e-58,0.8192090395480226,0.23634969325153374,0.5828593462964888,19
small_cluster,15,cluster_15,AW112010,16.252407,2.3540535,2.147617818339861e-59,4.8920944220266754e-57,0.5141242937853108,0.10475460122699387,0.4093696925583169,20
small_cluster,14,cluster_14,Pigr,21.8826,3.0251641,3.8051737470228584e-106,6.240865462492191e-102,0.9845360824742269,0.31554667076733817,0.6689894117068886,1
small_cluster,14,cluster_14,Sult1c1,21.748974,3.8609943,7.06436083389817e-105,5.793129101838194e-101,0.26804123711340205,0.0181454713209288,0.24989576579247325,2
small_cluster,14,cluster_14,Atp6v1b1,20.960276,2.6728568,1.51209976772853e-97,8.266649430171874e-94,0.6597938144329897,0.1224050438259265,0.5373887706070631,3
small_cluster,14,cluster_14,Msln,20.86231,3.4569316,1.1784152552804989e-96,4.831797150463865e-93,0.9948453608247423,0.5114562509610949,0.48338910986364736,4
small_cluster,14,cluster_14,Clca1,20.415619,3.1531816,1.2148473834093583e-92,3.9849423870593776e-89,0.3711340206185567,0.04151929878517607,0.32961472183338064,5
small_cluster,14,cluster_14,Muc5b,20.383224,2.9775507,2.3561302684866978e-92,6.440482088908388e-89,0.8711340206185567,0.2548054743964324,0.6163285462221243,6
small_cluster,14,cluster_14,Sftpa1,20.347012,3.1300957,4.934647962603388e-92,1.1561880176379737e-88,0.7989690721649485,0.20390588958942027,0.5950631825755283,7
small_cluster,14,cluster_14,Gfpt2,19.807514,3.326693,2.5643525213484816e-87,4.673105078070716e-84,0.3402061855670103,0.03736736890665847,0.30283881666035184,8
small_cluster,14,cluster_14,Plk3,19.67938,2.5540059,3.2393287398479405e-86,5.3128230662246076e-83,0.654639175257732,0.1302475780409042,0.5243915972168278,9
small_cluster,14,cluster_14,C2cd4b,19.55544,2.854572,3.7078218752384975e-85,5.0676655479822163e-82,0.9896907216494846,0.48131631554667076,0.5083744061028138,10
small_cluster,14,cluster_14,Fcgbp,19.375465,2.8146427,1.243304724478806e-83,1.5685723681674535e-80,0.5154639175257731,0.08872827925572813,0.426735638270045,11
small_cluster,14,cluster_14,Dusp5,18.717499,2.5837471,3.5649825469060066e-78,3.897951916787028e-75,0.8865979381443299,0.2744886975242196,0.6121092406201103,12
small_cluster,14,cluster_14,AU021092,18.460472,2.5355844,4.2956916777121937e-76,4.1443317180092753e-73,0.8195876288659794,0.24926956789174226,0.5703180609742371,13
small_cluster,14,cluster_14,Cyp4a12b,18.294008,2.3983119,9.236646500208573e-75,8.416124402773379e-72,0.8917525773195877,0.29109641703829003,0.6006561602812976,14
small_cluster,14,cluster_14,Klhl21,17.694744,2.2106042,4.6031993993911825e-70,3.973530176284989e-67,0.7989690721649485,0.21651545440565892,0.5824536177592896,15
small_cluster,14,cluster_14,Krt23,17.24122,2.258762,1.3025566496243848e-66,1.0172967433566445e-63,0.9845360824742269,0.5051514685529755,0.4793846139212513,16
small_cluster,14,cluster_14,Fam46c,17.15893,2.214448,5.38979564934778e-66,4.0180926565887705e-63,0.7164948453608248,0.1952944794710134,0.5212003658898113,17
small_cluster,14,cluster_14,Cenpu,17.140297,2.6563838,7.426995895565927e-66,5.296093899268555e-63,0.29896907216494845,0.03659849300322928,0.2623705791617192,18
small_cluster,14,cluster_14,Hist1h4i,17.0829,2.386476,1.9898365745121207e-65,1.3054123863429316e-62,0.35051546391752575,0.04920805781946794,0.30130740609805784,19
small_cluster,14,cluster_14,Adam30,16.90139,2.9163265,4.394198990186129e-64,2.6692317643719518e-61,0.23195876288659795,0.022912501922189757,0.2090462609644082,20
type,Basal,type_Basal,Dapl1,66.65812,5.1617684,0.0,0.0,0.9675251959686451,0.20192,0.7656051959686451,1
type,Basal,type_Basal,Aqp3,65.93943,4.763185,0.0,0.0,0.9946808510638298,0.52512,0.4695608510638297,2
type,Basal,type_Basal,Sfn,61.141537,3.5475953,0.0,0.0,0.9913213885778276,0.70624,0.2850813885778276,3
type,Basal,type_Basal,Krt5,60.44749,5.125666,0.0,0.0,0.8737402015677491,0.16512,0.7086202015677492,4
type,Basal,type_Basal,Igfbp7,59.41632,4.617069,0.0,0.0,0.8614221724524076,0.18816,0.6732621724524076,5
type,Basal,type_Basal,Perp,56.144157,2.5100398,0.0,0.0,0.973404255319149,0.74496,0.22844425531914903,6
type,Basal,type_Basal,Crlf1,55.28459,4.718519,0.0,0.0,0.7676371780515118,0.10272,0.6649171780515117,7
type,Basal,type_Basal,Bcam,51.363358,3.6504188,0.0,0.0,0.7799552071668533,0.22688,0.5530752071668533,8
type,Basal,type_Basal,Marcksl1,51.33506,3.1056695,0.0,0.0,0.8650615901455767,0.40128,0.4637815901455767,9
type,Basal,type_Basal,Sdc1,51.195324,2.4092927,0.0,0.0,0.9056550951847704,0.5984,0.30725509518477034,10
type,Basal,type_Basal,Csrp1,50.52438,2.579293,0.0,0.0,0.9258118701007839,0.60352,0.322291870100784,11
type,Basal,type_Basal,Glul,50.058952,2.7266905,0.0,0.0,0.8561030235162373,0.49216,0.36394302351623736,12
type,Basal,type_Basal,Ptn,49.89311,4.3601213,0.0,0.0,0.6867301231802911,0.09696,0.5897701231802911,13
type,Basal,type_Basal,Icam1,49.407993,3.6835597,0.0,0.0,0.7486002239641657,0.22592,0.5226802239641657,14
type,Basal,type_Basal,Krt17,48.90027,4.3834724,0.0,0.0,0.7592385218365062,0.23168,0.5275585218365062,15
type,Basal,type_Basal,Hspa1a,46.177784,2.9860759,0.0,0.0,0.908454647256439,0.45728,0.45117464725643897,16
type,Basal,type_Basal,mt-Nd4,44.90484,2.7990108,0.0,0.0,0.9470884658454647,0.45504,0.4920484658454647,17
type,Basal,type_Basal,Dcn,44.415756,3.3539374,0.0,0.0,0.727043673012318,0.32096,0.40608367301231796,18
type,Basal,type_Basal,Phlda3,44.068733,3.2663736,0.0,0.0,0.6704927211646137,0.18816,0.4823327211646137,19
type,Basal,type_Basal,S100a10,43.251877,2.1808248,0.0,0.0,0.904535274356103,0.60736,0.297175274356103,20
type,Ciliated,type_Ciliated,Cdhr4,71.22112,9.923964,0.0,0.0,0.8555240793201133,0.005832282471626734,0.8496917968484866,1
type,Ciliated,type_Ciliated,Ccdc113,70.56824,9.015026,0.0,0.0,0.8810198300283286,0.008827238335435058,0.8721925916928935,2
type,Ciliated,type_Ciliated,Tekt1,70.235916,8.992574,0.0,0.0,0.8555240793201133,0.007250945775535939,0.8482731335445773,3
type,Ciliated,type_Ciliated,Gm867,69.654594,9.122599,0.0,0.0,0.8470254957507082,0.007566204287515763,0.8394592914631924,4
type,Ciliated,type_Ciliated,1700016K19Rik,69.58541,9.11463,0.0,0.0,0.9745042492917847,0.01986128625472888,0.9546429630370559,5
type,Ciliated,type_Ciliated,Fam92b,69.43629,9.180959,0.0,0.0,0.8243626062322946,0.006147540983606557,0.818215065248688,6
type,Ciliated,type_Ciliated,Tctex1d4,68.65616,8.70895,0.0,0.0,0.943342776203966,0.018442622950819672,0.9249001532531463,7
type,Ciliated,type_Ciliated,1700026L06Rik,68.61971,8.650655,0.0,0.0,0.8951841359773371,0.01355611601513241,0.8816280199622047,8
type,Ciliated,type_Ciliated,2410004P03Rik,68.61918,8.607698,0.0,0.0,0.8498583569405099,0.009457755359394703,0.8404006015811152,9
type,Ciliated,type_Ciliated,3300002A11Rik,68.42782,8.849741,0.0,0.0,0.9036827195467422,0.014817150063051702,0.8888655694836904,10
type,Ciliated,type_Ciliated,1700001C02Rik,68.377266,8.686404,0.0,0.0,0.8611898016997167,0.010876418663303909,0.8503133830364128,11
type,Ciliated,type_Ciliated,Sntn,67.116684,8.420474,0.0,0.0,0.8781869688385269,0.014817150063051702,0.8633698187754751,12
type,Ciliated,type_Ciliated,Erich2,67.026985,8.458921,0.0,0.0,0.8413597733711048,0.011506935687263556,0.8298528376838412,13
type,Ciliated,type_Ciliated,Tm4sf1,66.63427,8.282422,0.0,0.0,0.9121813031161473,0.019230769230769232,0.892950533885378,14
type,Ciliated,type_Ciliated,Odf3b,66.561066,8.202442,0.0,0.0,0.8215297450424929,0.010403530895334174,0.8111262141471587,15
type,Ciliated,type_Ciliated,Ldlrad1,66.27883,9.078404,0.0,0.0,0.7450424929178471,0.0048865069356872634,0.7401559859821598,16
type,Ciliated,type_Ciliated,Gm8579,66.12906,9.157238,0.0,0.0,0.7422096317280453,0.0048865069356872634,0.7373231247923581,17
type,Ciliated,type_Ciliated,Dnali1,66.021774,8.242538,0.0,0.0,0.7960339943342776,0.00914249684741488,0.7868914974868627,18
type,Ciliated,type_Ciliated,Cdhr3,65.95154,8.652661,0.0,0.0,0.7705382436260623,0.007250945775535939,0.7632872978505263,19
type,Ciliated,type_Ciliated,Fam166b,65.59315,8.672377,0.0,0.0,0.7393767705382436,0.005359394703656999,0.7340173758345866,20
type,Club,type_Club,Cyp2a5,59.13001,4.269222,0.0,0.0,0.982200647249191,0.41562130177514794,0.5665793454740431,1
type,Club,type_Club,Ltf,59.002266,5.513016,0.0,0.0,0.9720873786407767,0.4608284023668639,0.5112589762739128,2
